Name,Url
Сысенко Владимир Анатольевич,"https://ru.wikipedia.org/wiki/%D0%A1%D1%8B%D1%81%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
Хярм Тийт,"https://ru.wikipedia.org/wiki/%D0%A5%D1%8F%D1%80%D0%BC,_%D0%A2%D0%B8%D0%B9%D1%82"
Шинова Матильда,"https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%9C%D0%B0%D1%82%D0%B8%D0%BB%D1%8C%D0%B4%D0%B0"
Вильянова Маноло,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%9C%D0%B0%D0%BD%D0%BE%D0%BB%D0%BE"
Диас Фигероа Альфредо,https://es.wikipedia.org/wiki/Alfredo_D%C3%ADaz_Figueroa
Криштофович Вячеслав Сигизмундович,"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B8%D1%88%D1%82%D0%BE%D1%84%D0%BE%D0%B2%D0%B8%D1%87,_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2_%D0%A1%D0%B8%D0%B3%D0%B8%D0%B7%D0%BC%D1%83%D0%BD%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
Куни Патрик,https://en.wikipedia.org/wiki/Patrick_Cooney
Мацегора Александр Иванович,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%86%D0%B5%D0%B3%D0%BE%D1%80%D0%B0,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
Мирошниченко Виктор Владимирович,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%80%D0%BE%D1%88%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
Немет Эржебет,https://hu.wikipedia.org/wiki/N%C3%A9meth_Erzs%C3%A9bet_(k%C3%A9zilabd%C3%A1z%C3%B3)
Оводенко Анатолий Аркадьевич,"https://ru.wikipedia.org/wiki/%D0%9E%D0%B2%D0%BE%D0%B4%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
Окопный Алексей Владимирович,"https://ru.wikipedia.org/w/index.php?title=%D0%9E%D0%BA%D0%BE%D0%BF%D0%BD%D1%8B%D0%B9,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87&action=edit&redlink=1"
